0.15339,-0.15623,0.31332,-0.35716
0.11683,-0.12324,0.21321,-0.40085
0.087782,-0.098809,0.10409,-0.42477
0.064222,-0.081278,-0.0082664,-0.42496
0.044505,-0.069438,-0.11737,-0.40007
0.02725,-0.062468,-0.21673,-0.35128
0.011244,-0.059876,-0.30045,-0.28194
-0.0046308,-0.061473,-0.36375,-0.19706
-0.021485,-0.067362,-0.40333,-0.10265
-0.040495,-0.077945,-0.41752,-0.0052973
-0.062984,-0.09395,-0.40645,0.088202
-0.090513,-0.11648,-0.37203,0.17105
-0.12499,-0.14707,-0.31794,0.23669
-0.14388,-0.16445,-0.28776,0.25949
