Parameter,Value,Description
M,1000.0000000000,Hip mass [kg]
m,1.0000000000,Leg mass [kg]
I,0.0000000000,Leg inertia [kg*m^2]
l,1.0000000000,Leg length [m]
c,1.0000000000,Leg CoM distance [m]
w,0.0000000000,Leg width [m]
r,0.0000000000,Foot radius [m]
g,1.0000000000,Gravity [m/s^2]
gam,0.0090000000,Slope angle [rad]
q1_initial,-0.0100000000,Initial stance leg angle [rad]
u1_initial,-0.1000000000,Initial stance leg velocity [rad/s]
q2_initial,-0.0100000000,Initial swing leg angle [rad]
u2_initial,-0.3000000000,Initial swing leg velocity [rad/s]
